id,CH,Acc,MHT,AcBF
274,0.0,7.859,196.0,0.0
275,0.0,5.599,194.0,0.0
277,0.0,4.734,206.0,0.0
278,0.0,4.733,194.0,0.0
279,0.0,8.472,275.0,0.0
280,0.0,4.74,177.0,0.0
281,0.0,4.769,336.0,0.0
283,0.0,4.837,256.0,0.0
284,0.0,8.92,252.0,0.0
285,0.0,4.785,240.0,0.0
286,0.0,4.783,29.9,0.0
287,0.0,11.337,277.0,0.0
288,0.0,4.732,240.0,0.0
289,0.0,11.103,194.0,0.0
290,0.0,5.599,216.0,0.0
291,0.0,4.782,245.0,0.0
292,0.0,11.288,184.0,0.0
293,0.0,4.791,240.0,0.0
294,0.0,4.753,376.0,0.0
296,0.0,12.203,271.0,0.0
297,0.0,4.788,241.0,0.0
298,0.0,7.484,275.0,0.0
299,0.0,10.488,256.0,0.0
300,0.0,11.343,256.0,0.0
301,0.0,4.723,241.0,0.0
302,0.0,4.732,224.0,0.0
303,0.0,4.755,217.0,0.0
304,0.0,4.849,271.0,0.0
305,0.0,10.002,241.0,0.0
306,0.0,10.404,216.0,0.0
308,0.0,11.391,241.0,0.0
309,0.0,11.905,186.0,6.146
310,0.0,5.933,389.0,4.774
311,0.0,5.826,240.0,0.0
312,0.0,5.524,234.0,0.0
313,0.0,4.797,29.3,0.0
314,0.0,4.73,197.0,0.0
316,0.0,5.076,336.0,0.0
317,0.0,9.656,240.0,0.0
318,0.0,4.733,192.0,0.0
319,0.0,4.776,234.0,0.0
320,0.0,4.74,377.0,0.0
321,0.0,9.254,252.0,0.0
322,0.0,4.733,275.0,0.0
323,0.0,7.651,176.0,0.0
324,0.0,11.323,176.0,0.0
325,0.0,7.484,29.5,0.0
326,0.0,4.746,385.0,0.0
327,0.0,4.753,234.0,0.0
328,0.0,4.811,29.8,0.0
329,0.0,4.766,241.0,4.734
330,0.0,10.91,29.3,0.0
331,0.0,4.771,275.0,0.0
332,0.0,10.797,274.0,0.0
333,0.0,5.866,271.0,0.0
334,0.0,5.076,240.0,0.0
335,0.0,4.769,192.0,0.0
336,0.0,4.764,336.0,0.0
337,0.0,4.776,29.6,0.0
338,0.0,4.742,177.0,0.0
339,0.0,7.695,275.0,0.0
340,0.0,6.302,193.0,0.0
341,0.0,10.206,255.0,0.0
342,0.0,4.74,184.0,0.0
343,0.0,4.914,235.0,0.0
344,0.0,8.476,241.0,0.0
346,0.0,11.673,216.0,0.0
347,0.0,4.799,192.0,0.0
348,0.0,4.783,209.0,4.722
349,0.0,10.078,241.0,4.733
350,0.0,7.578,275.0,0.0
351,0.0,11.271,240.0,0.0
352,0.0,4.764,274.0,0.0
353,0.0,4.834,193.0,0.0
354,0.0,4.717,192.0,11.705
355,0.0,7.329,252.0,0.0
356,0.0,4.741,194.0,0.0
357,0.0,12.276,240.0,0.0
358,0.0,4.745,271.0,0.0
359,0.0,4.757,216.0,0.0
360,0.0,11.316,29.4,0.0
361,0.0,11.765,257.0,0.0
362,0.0,4.749,192.0,0.0
364,0.0,4.792,251.0,0.0
365,0.0,4.764,216.0,0.0
366,0.0,4.776,274.0,0.0
367,0.0,4.753,267.0,0.0
368,0.0,4.734,29.5,11.354
369,0.0,4.758,29.6,0.0
370,0.0,4.741,192.0,0.0
371,0.0,4.762,254.0,0.0
372,0.0,4.78,29.7,0.0
373,0.0,9.485,218.0,0.0
374,0.0,4.819,234.0,0.0
375,0.0,4.744,267.0,0.0
376,0.0,4.757,192.0,4.71
377,0.0,5.524,185.0,0.0
378,0.0,4.777,241.0,0.0
379,0.0,4.756,241.0,0.0
380,0.0,5.971,256.0,0.0
381,0.0,10.561,280.0,4.792
382,0.0,4.753,274.0,0.0
383,0.0,6.087,275.0,0.0
384,0.0,4.811,192.0,0.0
385,0.0,4.73,252.0,0.0
386,0.0,4.744,29.8,0.0
389,0.0,4.784,275.0,0.0
390,0.0,10.304,252.0,0.0
391,0.0,4.788,234.0,0.0
392,0.0,7.688,252.0,0.0
393,0.0,10.697,267.0,0.0
394,0.0,4.818,336.0,4.739
395,0.0,4.84,336.0,4.807
396,0.0,4.795,29.8,0.0
397,0.0,4.792,183.0,0.0
399,0.0,4.841,271.0,0.0
400,0.0,4.722,268.0,0.0
402,0.0,4.758,274.0,0.0
403,0.0,4.767,376.0,0.0
404,0.0,4.746,335.0,0.0
405,0.0,4.735,240.0,0.0
406,0.0,11.356,252.0,0.0
408,0.0,4.74,252.0,0.0
409,0.0,5.524,235.0,0.0
410,0.0,8.92,183.0,0.0
411,0.0,4.775,269.0,0.0
412,0.0,9.526,234.0,11.127
413,0.0,4.739,256.0,0.0
